yorum,hiz,servis,lezzet,Label
Lezzeti harika kuryesi gece olduğu için zil çalıp rahatsız etmek yerine telefonla arayacak kadar düşünceli.,10,10,10,pozitif
Hayatimda yedigim en lezzetli kumpiri yemis olabilirim. Siparisimde hic bir kusur yoktu ve gercekten lezzetliydi. Boyle devam!,10,10,10,pozitif
Normalde coo siparia verdigim ve hep memnun kaldigim bir yer ama en son sipariai hem 1 saatte ancak getirdiler hem de kumpirde sadece rus salatasi vardi malzeme olmadigi icin yalnizca rus salatasi boca etmisler gibi.. Son siparisim rezaletti!,2,1,1,negatif
Her zamanki gibi mükemmel lezzet ve bitmeyen porsiyon. Bu bölgede işini en iyi yapan firma olabilir. Ellerinize sağlık!,10,10,10,pozitif
Hızlıydı.,10,10,10,pozitif
"Kumpir güzeldi, hızlı geldi.",10,10,10,pozitif
"Gerçekten çok tuzsuzdu, hiçbir malzemenin lezzeti alınmıyordu.",8,9,7,pozitif
Seviyoruz.,9,9,9,pozitif
Şaşırtmayan lezzet. Hep aynı kalitedeler. Kumpir gerçekten çok büyük lezzetli ve doyurucu.,10,10,10,pozitif
"Kumpire cheddar eklensin istedim ama bu kadar ozensiz olamazdi, 2 parca peyniri ustune birakmissiniz, 3 liraya degmeyecek bir sey diye dusunuyorum. Ek olarak kumpir boyutu ne kadar tatmin ediciyse wafflenki de o kadar hayal kirikligiydi. Maalesef oranlarda kuculme var.",10,6,8,pozitif
Kumpirin içinde seçtiğim malzemelerden sadece bir tanesi doğru koyulmuştu. Gerisini rastgele koymuşlar. Portakal-greyfurt suyu karışık istemiştim. Onu da tek portakal getirmişler. Sevmediğim yiyecekler olduğu için çoğunu da yiyemedim. Vaktim de yoktu değişim isteyemedim. Asla yakınından geçmem.,8,1,7,nötr
"Kumpir, servis ve hız çok iyiydi hayırlı işler olsun.",9,9,9,pozitif
Kumpirler cok basarili ve hizli tesekkurler.,10,10,10,pozitif
"Aşırı hızlı, çok lezzetli, kurye güleryüzlü. Teşekkür ediyorum kalite için.",10,10,10,pozitif
Lezzetliydi.,10,10,10,pozitif
Kumpir iki kişiyi çok rahat doyuracak büyüklükteydi. Şansıma mı öyle geldi bilmiyorum ama artık kesinlikle başka yerden söylemem. Servis gayet hızlıydı kumpir tam yenilecek kıvamda geldi. Tek sıkıntı olabilecek şey haydarinin içinde dereotu var. Herkes alışık olmayanilir.,10,10,10,pozitif
İyiydi fakat porsiyonlar cok kucuktu. Ustelik cikolata tahin ve pekmezli gibiydi.,9,9,9,pozitif
Zamanlama güzeldi ancak frambuaz aroması oldukça ekşiydi yarısını yiyemedim:(.,9,9,6,pozitif
Kumpir çok büyük ve tam istediğim gibi sıcak geldi. Gayet başarılıydı.,8,9,10,pozitif
Lezzet kalite hız mükemmel çalışanlar ilgili ve güleryüzlü... Waffle ın tek adresi diyebilirim teşekkürler...,10,10,10,pozitif
"Her malzeme lezzetli ve gereken oranda. Hep böyle kalmanız dileğiyle, teşekkürler.",10,10,10,pozitif
Gayet hızlı servisleri var. Yarım saat beklerim diye düşünmeyin. İç malzemesi de cömert şekilde koyulmuş.,10,10,10,pozitif
Elinize sağlık.,10,10,9,pozitif
Gelen kumpir küçüklüğü sebebiyle doyurucu değildi yoksa bebeğin en iyisidir grnelde.,8,7,7,pozitif
Siparişimi getiren kurye can arkadaşa teşekkürler.,10,10,10,pozitif
Son derece anlayışlı ve müşteri memnuniyetine önem veren bir işletme.. Siparişlerimden de son derece memnunum.,10,10,10,pozitif
Lezzeti harika kuryesi gece olduğu için zil çalıp rahatsız etmek yerine telefonla arayacak kadar düşünceli.,10,10,10,pozitif
Hayatimda yedigim en lezzetli kumpiri yemis olabilirim. Siparisimde hic bir kusur yoktu ve gercekten lezzetliydi. Boyle devam!,10,10,10,pozitif
Normalde coo siparia verdigim ve hep memnun kaldigim bir yer ama en son sipariai hem 1 saatte ancak getirdiler hem de kumpirde sadece rus salatasi vardi malzeme olmadigi icin yalnizca rus salatasi boca etmisler gibi.. Son siparisim rezaletti!,2,1,1,negatif
Her zamanki gibi mükemmel lezzet ve bitmeyen porsiyon. Bu bölgede işini en iyi yapan firma olabilir. Ellerinize sağlık!,10,10,10,pozitif
Hızlıydı.,10,10,10,pozitif
"Kumpir güzeldi, hızlı geldi.",10,10,10,pozitif
"Gerçekten çok tuzsuzdu, hiçbir malzemenin lezzeti alınmıyordu.",8,9,7,pozitif
Seviyoruz.,9,9,9,pozitif
Şaşırtmayan lezzet. Hep aynı kalitedeler. Kumpir gerçekten çok büyük lezzetli ve doyurucu.,10,10,10,pozitif
"Kumpire cheddar eklensin istedim ama bu kadar ozensiz olamazdi, 2 parca peyniri ustune birakmissiniz, 3 liraya degmeyecek bir sey diye dusunuyorum. Ek olarak kumpir boyutu ne kadar tatmin ediciyse wafflenki de o kadar hayal kirikligiydi. Maalesef oranlarda kuculme var.",10,6,8,pozitif
Kumpirin içinde seçtiğim malzemelerden sadece bir tanesi doğru koyulmuştu. Gerisini rastgele koymuşlar. Portakal-greyfurt suyu karışık istemiştim. Onu da tek portakal getirmişler. Sevmediğim yiyecekler olduğu için çoğunu da yiyemedim. Vaktim de yoktu değişim isteyemedim. Asla yakınından geçmem.,8,1,7,nötr
"Kumpir, servis ve hız çok iyiydi hayırlı işler olsun.",9,9,9,pozitif
Kumpirler cok basarili ve hizli tesekkurler.,10,10,10,pozitif
"Aşırı hızlı, çok lezzetli, kurye güleryüzlü. Teşekkür ediyorum kalite için.",10,10,10,pozitif
Lezzetliydi.,10,10,10,pozitif
Kumpir iki kişiyi çok rahat doyuracak büyüklükteydi. Şansıma mı öyle geldi bilmiyorum ama artık kesinlikle başka yerden söylemem. Servis gayet hızlıydı kumpir tam yenilecek kıvamda geldi. Tek sıkıntı olabilecek şey haydarinin içinde dereotu var. Herkes alışık olmayanilir.,10,10,10,pozitif
İyiydi fakat porsiyonlar cok kucuktu. Ustelik cikolata tahin ve pekmezli gibiydi.,9,9,9,pozitif
Zamanlama güzeldi ancak frambuaz aroması oldukça ekşiydi yarısını yiyemedim:(.,9,9,6,pozitif
Kumpir çok büyük ve tam istediğim gibi sıcak geldi. Gayet başarılıydı.,8,9,10,pozitif
Lezzet kalite hız mükemmel çalışanlar ilgili ve güleryüzlü... Waffle ın tek adresi diyebilirim teşekkürler...,10,10,10,pozitif
"Her malzeme lezzetli ve gereken oranda. Hep böyle kalmanız dileğiyle, teşekkürler.",10,10,10,pozitif
Gayet hızlı servisleri var. Yarım saat beklerim diye düşünmeyin. İç malzemesi de cömert şekilde koyulmuş.,10,10,10,pozitif
Cok iyi servis icin tesekkurler.,10,10,10,pozitif
Siparişim kısa sürede adresimdeydi. Orta boy pilav söylememize rağmen dolu bir tabak geldi.,10,10,7,pozitif
Her zamanki harika 30 dakka diyipte 15 dakkada gelmesı ayrıca güzel tşk ederim. İyi calışmalar.,10,10,10,pozitif
Profıterol bozuktu pılavda vasattı.,7,1,1,negatif
Miss gibi teşekkür ediyorumm elinize sağlık.,10,10,10,pozitif
Haşlama içli köftenizi çok begendim el yapımı olması ayrı bi olay çok güzel ve lezzetli geldi teşekkürler ellerinize saglık.,10,10,10,pozitif
Süpersiniz bu arada.,10,10,10,pozitif
Allah mecbur bırakmasın.,9,5,2,nötr
Hersey eksiksizdi servis hiz ve lezzet.,10,10,10,pozitif
Elinize saglik lezzet super biraz daha hizli gelebilse keske yogunlugunuza veriyorum onuda.,10,10,10,pozitif
Harika.,10,10,10,pozitif
Çok hızlı geldi siparişlerim bu kadarını beklemiyordum ve süper bir pilavı var herkese tavsiye ederim bebek pilavcısına çok teşekkür ederim.,10,10,10,pozitif
İlk denememdi hızlı servisi be lezzeti mükemmeldi herkeze gönül rahatlıyla tavsiye ederim.,10,10,10,pozitif
Siparişim 3 saatte gelmedi.,1,1,1,negatif
Ellerinize saglik.,10,10,10,pozitif
İlk deneyimim baya geçerli oldu daha iyisini hak e diyorsunuz.,10,10,10,pozitif
Gayet iyiydi :).,10,10,10,pozitif
Çok iyiydi ya!,10,10,10,pozitif
Elerinize sağlık harikaydı pilava.,10,10,10,pozitif
Lezzetli teşekkürler :).,10,10,10,pozitif
Güzel.,10,10,10,pozitif
Lezzeti tadı tuzu gayet hoş ağızda dağılan nohut teşekkür ederim :).,10,10,10,pozitif
Lezzetliydi. Teşekkürler..,10,10,10,pozitif
"Nohutlu, tavuklu pilav güzeldi. Hızlı sorunsuz geldi.",9,9,9,pozitif
Elinize sağlık.,10,10,10,pozitif
Süper waffle süper hizmet.,10,10,10,pozitif
Müthiş pilav hızlı servis.,10,10,10,pozitif
Lezzeti hizi servisi superdi.,10,10,10,pozitif
Baya lezzetliydi.,10,10,10,pozitif
Başarılıııııı.,10,10,10,pozitif
Berbat ne soylediysem yalnis gelmis ayrica gec geliyor ve lezzet tadinda hic bisey yok.,1,1,1,negatif
Güzeldi.,10,10,10,pozitif
"Tatlinin tarihi gecmisti ve eksimisti, yemegin 90 pilavdi ve salatada azilmis ve bozuk salatalikla doluydu.",9,5,3,nötr
Harikaydı teşekkür ederim.,10,10,10,pozitif
Zamanlaması ve lezzeti süperdi aynen böyle devam ellerinize sağlık.,10,10,10,pozitif
Tartışmasız bu semtin en iyi tavuk pilavı sinizz tabiki eksikleriniz vardır ama bence onluksunuzz.,10,10,10,pozitif
Sıcak ve lezzetli.,10,10,10,pozitif
Herşey olması gerektiği gibi emeğinize sağlık.,10,9,10,pozitif
Puanlamaya aldırmadan denemek istedim ve gayet başarılı çok teşekkür ederim hızlı ve temiz paketleme için.,10,10,10,pozitif
"Yemekden sonra arayıp kontrol amaçlı nasıldı diye sormanız mükemmeldi, gerçekden lezzet tartışılmaz elinize sağlık.",10,10,10,pozitif
Çiççek gibisiniz.,10,10,10,pozitif
Daha önce 7 tl ye aldıgın yogurt yarım kilo seklınde gelmişti. Bu sefer 1 tl lik kücücük yogurt gondermısler ayrıca gonderilen pilavlar posetın ıçine dokulmüştü. Servis kötüydü.,5,5,5,nötr
Bomba gibiydi ellerinize saglik.,10,10,10,pozitif
Sıcak ve hızlı teşekkürler.,10,10,10,pozitif
"O kadar gec geldi ki, siparis verdigimi unuttum.",1,1,1,negatif
Adresimi yalnış yazmama rağmen kurye çok nazikti bi o kadarda sıcakk ve lezzetli.,10,10,10,pozitif
Daha önce beğendiğim için tekrar sipariş verdim ama çok kötüydü. Nohutlu pilavda bir tane bile nohut yoktu. Pilav çok lezzetsizdi. Ayrıca poşetin içinde ne bir kaşık-çatal ne de bir peçete vardı. Daha kötü bir servis olamazdı.,7,1,1,negatif
Başarılı!,10,10,10,pozitif
Ellerinize saglık spordan sonra güzel giden tek şey pilavınız.,10,10,10,pozitif
Lezzetli ve hızlı geldi teşekkürler.,10,10,10,pozitif
Aşırı geç geldi. Kuş yemi kadar tavuk atmışlar içine soğumuştu ve çiğ köfte niye vıcık vıcık.,1,1,1,negatif
"Sipariş neredeyse 70 dakika sonra geldi. Pilavların yanında ne turşu ne karabiber hiçbir baharat yoktu. Kuru fasulyeli, salatalı pilavın içerisinde salata yoktu. Üstelik içerisine tavuk konulmuştu. Siparişi veren kişi et yemediği için tavukları tek tek ayıklamak zorunda kaldı. Bir de pilav kuruydu.",1,2,1,negatif
Kardesim siz bu isi yapmayin catal bicak yok tuz yok pilav tavuktan hic bahsetmiyim.,1,1,1,negatif
Superdi. Tursu cok guzeldi ama biberler hic aci degildi. :).,10,10,10,pozitif
Lezzet ve servis güzel kaliteliydi ancak servis hızı geliştirilebilir.,9,10,10,pozitif
Böyle bir pilav görmedim inannışmaz bir tat yapanın ellerino kollarına saglık çok hızlı siparişimi getirdiker başarılarınızın devamını diliyorum tebrikler pilavcı arkadaşlar.,10,10,10,pozitif
Güler yüzlü teslimat ve lezzetli sıcak yemeğiniz için teşekkür ederim.,10,10,10,pozitif
Çok lezzetliydi olması gerektiği gibi sıcak ve hızlı geldi.,10,10,10,pozitif
"Tavuk ve tatlılarınız bozuktu, para iadesi için teşekkürler.",1,1,1,negatif
İçine biraz daha tavuk koyarsanız on numero olur başarılar.,9,9,9,pozitif
Tavsiye ederim.,10,10,10,pozitif
Hızlı gelmesine rağmen pilav çok soğuktu. Hiç bir tadı yoktu.,7,4,3,nötr
Muhteşem lezzet ve başarılı teslimat.,10,10,10,pozitif
Sepetten verilen ender lezzetlerdensiniz.,10,10,10,pozitif
Soğuktu.,4,4,3,negatif
Kavurmalı pilavda baharat seçimi olmamasına rağmen çok baharatlı gelmişti. Onun dışında fena değildi baharata dikkat edelim lütfen.,8,8,4,nötr
Soğuktu tavuk çok azdı nohutlar sertti pilav aşırı fazlaydı.,10,6,5,pozitif
İdman sonrası en iyi pilav muhtesem hız.,10,10,10,pozitif
Tek kelime bombaydı.,10,10,10,pozitif
Siparisim tahmin edilen en kisa surede elime ulasti lezzeti ise mukemmeldi tekrar siparis verebilecegim bi yer tesekkurler bebek pilavcisi :).,10,10,10,pozitif
Hayatım boyunca yediğim en lezzetli şeydi diyebilirim... Güler yüzlü ve nazik kuriyeniz için ayrıca teşekkür ederim o kadar hızlı ve lezzetliydi ki her şey için teşekkürler.,10,10,10,pozitif
Hayatımda bu kadar kötü döner yemedik. Döner ete de benzemiyordu sanki teflonda ısıtılmış gibiydi. Kısacası hersey çöpe gitti.,5,5,1,negatif
Gerçekten hersey çok lezzetli ve çok hızlılar.,10,10,10,pozitif
"Ofiste yemeğe gidemeyince hep ısmarlarım bebek pilavcısından, hiç şaşmaz pilav güzel olurdu. Ama bugün gönderdiğiniz tavuk resmen bozuktu. Yemek mümkün değildi, çöpe gitti, kötü de kokuyordu. Yani o tavukların bozuk olduğunun gözden kaçmasısı çok zor. Çok şaşırttın bugün beni bebek pilavcısı.",10,7,1,nötr
Güzel daha da güzel olabilir.,10,10,10,pozitif
Teşekkürler hızlı ve güzel geldi.,10,10,10,pozitif
"Biraz ara vermiştik size, şimdi tekrar başladık süperdi elinize saglık.",10,10,10,pozitif
Lezzet harika bunun aksini söyliyemem fakat serviste kürdanda kullanın herkezin evinde olmayabiliyor teşekkürler.,10,10,10,pozitif
Teşekkürler pilavlar güzeldi ama biraz soğuktu. Daha sıcak servis edilse harika olurdu.,10,10,10,pozitif
Sipariş zaten tavuk pilav ve hazır olan birşey etilere 50dk sürdü gelmesi. Extra tavuk eklettim o unutuldu ve pilav çok yağlı. Bu tarz işine önem vermeyen işletmelerden sipariş vermek hata!,1,1,1,negatif
Umdugumdan daga iyidiniz lezzet bi tavuk pilava göre çok iyidi.,10,10,10,pozitif
"Kurye sipariş ettiğim ayranı önce motorda unuttuğunu söyledi. Sonra kontrol edip dükkanda unuttuğunu, dönüp hemen alıp geleceğini söyledi. Ayranım hiç gelmedi. Ürünlerinizden oldukça memnunum ama bu olay hiç hoş değil.",9,1,9,nötr
Lezzetli.,9,8,8,pozitif
"Efsaneydi, harika.",10,10,10,pozitif
Mühteşem.,10,10,10,pozitif
Buralara böyle yorum sevmem fakat hayatımda yediğim en berbat pilavdı yorumlara aldandım! Pirinç ne kadar ucuzsa pilav o kadar lezzetsiz olur tereyağını geçtim margarin koysaydınız üzerine yarım avuç tavuk koymasanız daha iyiydi o da lezzetsizdi bir iş yapacaksınız tam yapın parasını alıyorsunuz.,7,10,1,nötr
"Daha iyi ambalaj öneririm, kutuların dışı dahil yağlanmıştı.",9,6,6,pozitif
Her zaman mükemmeller. Pettention veteriner kliniği olarak servislerinden lezzetlerinden ve davranışlarından memnunuz.,10,10,10,pozitif
Efsane biryer mutlaka deneyin.,10,10,10,pozitif
İlk defa siparışımı verdım harıka ve lezzetli elleronıze saglık cok teşekkür ederim hızlı gönderim için ayrıca favorimsiniz.,10,10,10,pozitif
Burdan dana kavurma pilav ürününü sipariş etmemenizi öneririm.,8,3,1,nötr
Her şey çok güzel elinize sağlık.,10,10,10,pozitif
"Teşekkür ederimm herşey için, zamanında teslim ve güler yüzlü eleman için.",10,10,10,pozitif
Yedigim en guzel pilavlardan biriydi sicak dolu dolu ve benim icin en onemlisi hemen geldi herkese tavsiye ederim tesekkurler.,10,10,10,pozitif
Karabiber pul biber koymasanızda kuryeniz çok cana yakın bi insan.,10,10,10,pozitif
Guzel.,9,8,8,pozitif
Guzel.,9,8,8,pozitif
Yemek çok güzeldi teşekkür ederim tekrarlıcağımdan eminim.,10,10,10,pozitif
Yerken rahmetli annemin yaptığı pilav canlandı anılarımda. Ellerinize sağlık. Kuryenin nezaketi için de ayrıca teşekkür ederim.,10,10,10,pozitif
2 tane orta boy pilav istedim extra 3 tane de tavuk (15tl) soyledim. Gelen tavuk toplam 60 gr yoktu. Tavugu gorunce inanamadim. Tavuk olmadigi icin extra tursu eklemisler. Yemegi iade ettim. Bu sekilde bir isletme mantigi olmamali.,4,1,3,negatif
Efsaneydiiii.,10,10,10,pozitif
Tam bir fiyat performans ürünü. Büyük boy tavuk pilav istedim ama eğer yoksa buna özel bir paketleme seçeneği üretmelisiniz. Birbirine girmiş ve dökülmüştü yemek.,8,6,7,pozitif
Ekmek koyun dedik adam ekmeği eliyle bölmüş poşedin içine bildiğin fırlatmış müşteriye saygınız yok bari nimete olsun.,4,1,4,negatif
"Ellerinize saglık, siparişden sonra arayıp başka bir istedginiz varmı diye sorucak kadar nezakettli bir işletme walla bravo.",10,10,10,pozitif
Gerçekten 10 numaraydı iş.,10,10,10,pozitif
Lezzetliydi.,10,10,10,pozitif
"Gerçekten servis berbattı, yemeklerin tatları hele kuru fasulyenin sadece su ve soğandan oluşmuş olduğunu öğrendim. Teşekkürler.",1,1,1,negatif
Tesekkurler.,9,9,9,pozitif
Sipariş çok hızlı geldi. Çok lezzetliydi. Sadece biber turşularını pilavın içine koymak yerine yanında gönderseniz çok daha iyi olur. Birden fazla pilav söylemiştik ve turşu sadece bir kişi içindi.,10,10,10,pozitif
"Süleyman şah oglu ertugrul gazi meydanlarda kefereye karsi cenk ederken var olsaydiniz, degil viyena, londra kadar bugun topraklar osmanli nindi. Ne mi demek istiyorum? Hayat katıyorsunuz. Cana can katıyorsunuz. Sevdalisiyiz.",10,10,10,pozitif
"Motorcu kurye arkadaşımız çok nazikti, bozuk para sorunu yaşamadık kredi kartını istedigim halde süpersiniz.",10,10,10,pozitif
Tavuk/pilav bozuktu.,9,2,1,nötr
"Saygılı ve hızlı kurye, birbirinden lezzetli pilav seçenekleri ayrıca saygılı ve çok dikkatli bir işletme.",10,10,10,pozitif
Süperdii.,10,10,10,pozitif
Mükemmel bi servis çok hızlı yemekleride çok lezzetli artık burdayım.,10,10,10,pozitif
Böylesi bir lezzet gizli kalmasın yemekleri hem çok güzel özenli ve hızlı teşekkürler bebek pilavcısı.,10,10,10,pozitif
Çok memun kaldım teşekkürler.,10,10,10,pozitif
Güzeldi.,10,9,10,pozitif
"Bayadır yemiyordum, yinede tadınız değişmemiş süperdi.",10,10,10,pozitif
"Gelen motorcu kardeşimin mutevaziligi geç kalmasını ört pas etti, daha önce bi kere daha denedim, buda çok güzeldi umarım kendinizi bozmayiniz.",10,10,10,pozitif
Beklentinin üstünde bir lezzet.,10,10,10,pozitif
Hızlı ve lezetli bi mekan şiddetle tavsiye ediyorum.,10,10,10,pozitif
Hızlı servis ve süper lezzetin tek adresi.,10,10,10,pozitif
Süper lezzetgüler yüzlülük bebek pilavcısı.,10,10,10,pozitif
Tavuk ile pilavı ayırmışsınız sanırım bu sefer tavuksuz geldi. Eleştirimi dinlediğiniz için teşekkür ederim.,9,10,10,pozitif
Bombaaa.,10,10,10,pozitif
Hızlı.,9,8,6,pozitif
10 dakikada geldi ve çok lezzetliydi kesinlikle tavsiye ederim.,10,10,10,pozitif
Gayette lezzetliydi.,10,10,10,pozitif
Pilav çok güzeldi servis hızıyla sıcak yiyebildim teşekkür ederim.,10,10,10,pozitif
Nefis.,10,10,10,pozitif
Lezzetliydi ama yavas geldi.,5,8,8,pozitif
Süperdi lezzetinizi servisinizle tamamlıyorsunuz teşekkürler.,10,10,10,pozitif
Nefis.,10,10,10,pozitif
On üzerinde on müthiş.,10,10,10,pozitif
İlave olarak nohut istememe rağmen pilavda nohut yoktu. Ayrıca salata ve tavuk pilava oranla aşırı azdı.,8,1,5,nötr
Yemek ve servis güzeldi.,10,10,10,pozitif
"Servis hızlı, lezzet 10 numara kesinlikle tavsiye ederim.",10,10,10,pozitif
Teşekkürlerr.,10,10,10,pozitif
Çok lezzetliydielinize sağlık.,10,10,10,pozitif
Gerçekten güzel lezzetliydi ve tahmin ettigimden daha hızlı geldi servisi de 5 yıldız dı.,10,10,10,pozitif
15 puan verebilsem 16 verirdim hersey efsaneydi.,10,10,10,pozitif
Harika çok lezzetli.,10,10,10,pozitif
Gelen kurye arkadaşın mütevaziliği başta olmak üzere herşey süperdi.,10,10,10,pozitif
Tavuklu pilav yerine sade gonderip birde telafi etmiyorlar.,1,1,1,negatif
Gayet güzel sunum tadı damakda bırakan lezzet tesekkurler.,10,10,10,pozitif
Kuru pilav.,10,8,5,pozitif
"Cigkofteyi peceteye sarip getirmissiniz, isinize hic sayginiz yok sanirim. Eger ambalaj kalmadiysa yemeksepetinde urunu kapali yapabilirsiniz. Corbayi peceteye koyup gonderir misiniz? Ambalaj urunun bir parcasi degil mi? Pilav da fiyat/performans olarak da sinifta kaldi.",6,1,1,negatif
"Merhaba, çoban salatanın tadı kötüydü. Sanırsam çok beklemişti. Taşınması için de sızdırma ihtimali olmayan kaplar kullanılmalı, streç filmle alınan önleme rağmen sırılsıklam haldeydi. Iyi çalışmalar.",10,6,5,pozitif
"Çalışanları güler yüzlü, yemekleri ve fiyatları mükemmel. Hızı, servisi sunumu ve lezzeti süper, iyi çalışmalar dilerim :).",10,10,10,pozitif
Tam iftarlik tavsiye ederim kesinlikle.,10,10,10,pozitif
Makul fiyatta lezzetli biyer bulduğumuz için teşekkür ederiz.,10,10,10,pozitif
Muhteşem elerinize sağlık böyle pilav yok.,10,10,10,pozitif
Elinize sağlık çok güzel olmuş herkese tavsiye ederiz.,10,10,10,pozitif
Mukemmeldi.,10,10,10,pozitif
Harikasınız arkadaşlar tavsiye üzerine sipariş verdim ilk defa gerçekten mükemmelsiniz hızlı servis güleryüz artı lezzet harika inşallah böyle devam edersiniz herşwy için teşekkürler.,10,10,10,pozitif
Sürekli sipariş verdigim bi yer daha iyilerini hak ediyorsunuz.,10,10,10,pozitif
Siparişim hızlı geldi ve sıcaktı teşekkür ederim.,10,10,10,pozitif
Süperdi gerçekten sıcak ve hızlı.,9,10,10,pozitif
"Pilavin lezzeti ozellikle temel olarak pilav uzerine kurulu muessese icin cok dusuk seviyede. Bitirilmedi porsyonlar. Kuru fasulyeli olanin sunumu, koyuldugu kap, fasulyenin lezzeti miktari maalesef guzel degildi.",8,2,1,negatif
Ben bu kadar bayat ve berbat bi midye yememiştim.,1,1,1,negatif
Ümit bey saygılar...,10,10,10,pozitif
"Midyeler çok kötüydü, yenmedi. Ayrıca soğuk servis edildiği mutlaka belirtilmeli. Sade pilavı kuru. Kuru fasulye servisinin ekmeksiz yapılması işin doğasına aykırı. Kötü bir deneyimdi.",6,6,1,nötr
Verdigim şipariş tam zamanında geldi lezzetide superdi ellerinize saglık arkadaşlar süpersinizzz.,10,10,10,pozitif
Servis gayet hızlı ve lezzeti mükemmel vaktiniz var ise uğramanızı isterim.,10,10,10,pozitif
Fiyata göre çok pahalı ve orta boy pilav siparişi verdik kücük boy gönderdiler bide üste çıkıyorlar.,1,1,1,negatif
"Porsiyon pilava göre küçüktü, notumu dikkate almamışlar, ve sanırım tavuk bulyonla pişen bi pilav.",8,7,6,pozitif
Pilav lezzetli servisi ve hızı gayet iyi ama nohutların kabukları soyulmamıştı o biraz kötüydü ama onun haricinde güzeldi.,9,8,8,pozitif
İlk denememdi abartmiyorum 11 dk gibi bi surede cok sasirdim saolun.,10,10,10,pozitif
Teşekkür ederim güler yüzlü servisiniz için.,10,10,10,pozitif
Elinize sağlık.,10,10,10,pozitif
Lezzeti güzeldi tek eksik tavuk miktarı pilav miktarına göre olması gerekenden azdı.,9,9,8,pozitif
Pilav güzeldi.,10,10,10,pozitif
Lezzette harikalar yaratıyosunuz bundan hiç şüphem yok.,10,10,10,pozitif
Harikaydı gerçekten emeğinize sağlık.,10,10,10,pozitif
Ellerinize sağlık superdi.,10,10,10,pozitif
İlk siparişimdi gerçekten süperdi elinize sağlık.,10,10,10,pozitif
Tadı damağımızda kaldı uzun süredir sicak bir pilav yiyemedik çok begendim.,10,10,10,pozitif
Tesekkurler her sey guzeldi.,10,10,10,pozitif
"Tavuk biraz daha fazla olsa iyi olurdu, genel gramaj iyi ve lezzetliydi.",10,9,9,pozitif
Çok başarılıydı onur bey e teşekkür ederim ikramı için.,10,10,10,pozitif
"Abartisiz 1, 5 saatten uzun surdu gelmesi haliyle buz gibiydi geldiginde.",1,1,1,negatif
Salatanın yanına ekmek dahi koymamışlardı. Geç geldi.,1,1,5,negatif
Umit beye teşekkürler elinize saglık.,10,10,10,pozitif
"Her zaman size 10 puan veriyorum, siparişim yanlış geldi bu sefer. Ayrıca pilavınızdan istisnasız her zaman tavuk parçaları çıkıyor normalde görmezden geliyorum ama bu sefer çok sinirlendim lütfen pilavla tavuğu ayrı yerde tutun, pilavımda tavuk bulmak istemiyorum ben servisiniz son zamanlarda kötü.",8,1,9,nötr
Herşey çok güzeldi hızlı servis teşekürler.,10,10,10,pozitif
"Pilavda bulyon mu vardı acaba yapay tuzlu bi tat aldım ama tane tabeydi, çiğköfte iyidi.",9,9,8,pozitif
"Pilava 25 lira veriyoruz, 1, 5 saatte buz gibi kupkuru geliyor. Yanında tatlı söylüyoruz yerken tadında bir gariplik, bakıyoruz ki 5 gün evvel son kullanma tarihi bitmiş. İnsanların sağlığıyla bu kadar kolay oynayamazsınız.",1,1,1,negatif
Menüde indirim yaptıklarında alışveriş yapmanızı tavsiye etmiyorum. Bayatlamış pişmemiş ve içinden taş çıkan bir pilav ve bayat tavuk gönderdiler olduğu gibi çöpe gitti.,1,2,1,negatif
Harika ama pahali.,10,10,10,pozitif
Hızlı servis ve mükemmel lezzet.,10,10,10,pozitif
Denemelerim her zaman karşılık verir oldu teşekkürler güzel servisleriniz için.,10,10,10,pozitif
"Semtin en iyi pilavcisi oldugunuz ortada, her zaman tercih edemesemde sizin orda oldugunuzu bilmek super bi durum.",10,10,10,pozitif
Beğendim.,10,10,10,pozitif
Superdi ellerinize saglik.,10,10,10,pozitif
Hızlı ve lezzetli. Her gün bıkmadan yiyebilirim. :).,10,10,10,pozitif
Çok güzeldi elerinize sağlık teşekürler.,10,10,10,pozitif
24 dakka geldi şaşırdım.. Çünki beni alıştırdiniz çok hızlı getirmeye )bu muhitteki en lezzetli tavuklu pilavci olduğunuzdan eminim.,10,10,10,pozitif
"Salatanın soğanı biraz fazla sanki, yada soğansız seçenegi eklenebilir. Hızservis mükemmel, siparis vermekten cekinmeyiniz.",10,10,6,pozitif
Başarılı enfes pilavdı ellerinize sağlık ellerinize sağlık..,10,10,10,pozitif
Harika :).,10,10,10,pozitif
Porsiyon küçüktü ama pilavın tadı iyi tavuğunki ise piyasanın bir tık ilerisindeydi.,10,9,8,pozitif
Tavuklu pilav efsane ellerinize sağlık.,10,10,10,pozitif
Pilavin tadı harikaydı çok beğendim servis kısa sürede geldi hizmet için teşekkür ederim.,10,10,10,pozitif
Her zaman ki gibi fevkalade. Bu yogun saatte 4 dakika masallah. Lezzerlere soyleyecek hic bir sey yok her zaman ki gibi. Tesekkurler.,10,10,10,pozitif
Teşekkürler..,9,8,8,pozitif
İlk denememizdi gayet memlun kaldık tekrar denicegimizden eminim.,10,10,10,pozitif
Hızlı servis mükemmel lezzet teşekkürler.,10,10,10,pozitif
Gayet güzel serviside mükemmel bence herkese tavsiye ederim.,10,10,10,pozitif
